Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-007:PCT-QL-014:PCT-002:en:396,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,40% of the monthly budget goes to food expenses and 25% goes to transport expenses. Find the percentage difference.,15% + 1,-15%,15%,15% - 1,C,"Both parts are already given as percentages of the same whole. ? food expenses=40%, transport expenses=25% So subtract the smaller percentage from the larger percentage. ? Difference=40%-25%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:397,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 16000 is divided as 30% rent, 20% food, and 50% transport. Find the amount spent on rent.",4800 + 1,-4800,4800,4800 - 1,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 16000 So the value corresponding to 1% is obtained by dividing Rs. 16000 by 100. ? 1%=(16000/100)=160 Now multiply the value of 1% by 30 to find the rent. ? 30%=160?30=4800 Therefore the rent count is Rs. 4800. ? rent=4800,,
PCT-CP-009:PCT-QL-018:PCT-002:en:398,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 20% goes to marketing, 20% to salaries, and 20% to rent. Find the missing percentage for other expenses.",40%,40% + 1,-40%,40% - 1,A,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 20%+20%+20%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:399,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 30000, 25% is spent on food, 30% on rent, 20% on transport, and the remaining 25% on education. Find the amount spent on education.",7500,-7500,7500 + 1,7500 - 1,A,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by the percentage for education. ? 25%=300?25=7500 Therefore the value for education is Rs. 7500. ? education=7500,,
PCT-CP-001:PCT-QL-001:PCT-002:en:400,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"25% of the students are girls. If the number of girls is 200, find the total number of students.",800 + 1,800 - 1,800,-800,C,"Here, 25% of the students equals 200. ? 25%?200 To determine the value of 1%, divide 200 by 25. ? 1%=(200/25)=8 Now multiply the value of 1% by 100 to get the whole. ? 100%=8?100=800 Therefore the total students is 800. ? Total students=800",,
PCT-CP-002:PCT-QL-003:PCT-002:en:401,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 25% of the income equals Rs. 12500, find 70% of the same income.",35000,35000 + 1,35000 - 1,-35000,A,"Here, 25% of the income equals Rs. 12500. ? 25%?Rs. 12500 First find the value corresponding to 1% by dividing Rs. 12500 by 25. ? 1%=(12500/25)=500 Now multiply the value of 1% by 70 to get 70%. ? 70%=500?70=35000 Therefore 70% of the income is Rs. 35000. ? expenditure=35000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:402,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 600 students, 210 are girls. Find what percent of the students are girls.",35%,35% - 1,35% + 1,-35%,A,The whole students corresponds to 100%. ? 100%?600 So 1% is obtained by dividing 600 by 100. ? 1%=(600/100)=6 Now compare 210 with the value of 1% to get the required percentage. ? Required percent=(210/6)=35% Therefore 210 is 35% of the students. ? girls=35%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:403,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 30% of the salary is Rs. 2400, then Rs. 2000 is what percent of the same salary?",25% + 1,25% - 1,25%,-25%,C,"Here, 30% of the salary equals Rs. 2400. ? 30%?Rs. 2400 To determine the value of 1%, divide Rs. 2400 by 30. ? 1%=(2400/30)=80 Now compare Rs. 2000 with the value of 1% to find the required percentage. ? Required percent=(2000/80)=25% Therefore Rs. 2000 is 25% of the salary. ? Required percent=25%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:404,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 1:2. Find the percentage corresponding to the first part.,33.33% + 1,33.33% - 1,33.33%,-33.33%,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=1+2=3 The first part accounts for 1 out of these 3 parts. ? Share fraction=(1/3) Convert that share into a percentage. ? Required percent=(1/3)?100=33.33% Therefore the first part corresponds to 33.33%. ? first part=33.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:405,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 25% of the class are girls, find the percentage of boys.",75% - 1,75%,-75%,75% + 1,B,The full quantity is always 100%. ? girls+boys=100% So subtract 25% from 100% to get the remaining percentage. ? boys=100%-25%=75% Therefore the boys percentage is 75%. ? boys=75%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:406,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,35% of the students are boys and 20% are girls. Find the difference between these percentages.,-15%,15% - 1,15%,15% + 1,C,"Both parts are already given as percentages of the same whole. ? boys=35%, girls=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:407,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 800 students is divided as 40% girls, 20% boys, and 40% other students. Find the number of girls.",-320,320 - 1,320,320 + 1,C,The whole students corresponds to 100%. ? 100%?800 So the value corresponding to 1% is obtained by dividing 800 by 100. ? 1%=(800/100)=8 Now multiply the value of 1% by 40 to find the girls. ? 40%=8?40=320 Therefore the girls count is 320. ? girls=320,,
PCT-CP-009:PCT-QL-017:PCT-002:en:408,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",-35%,35% - 1,35%,35% + 1,C,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:409,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 8000, 45% are males, 35% are females, and 20% are children. Find the number of children.",1600,-1600,1600 + 1,1600 - 1,A,The whole population corresponds to 100%. ? 100%?8000 So the value corresponding to 1% is obtained by dividing 8000 by 100. ? 1%=(8000/100)=80 Now multiply the value of 1% by the percentage for children. ? 20%=80?20=1600 Therefore the value for children is 1600. ? children=1600,,
PCT-CP-001:PCT-QL-002:PCT-002:en:410,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"10% of the monthly income is kept aside as savings. If these savings are Rs. 4000, find the total monthly income.",40000 + 1,-40000,40000,40000 - 1,C,"Here, 10% of the monthly income equals Rs. 4000. ? 10%?Rs. 4000 To determine the value of 1%, divide Rs. 4000 by 10. ? 1%=(4000/10)=400 Now multiply the value of 1% by 100 to get the whole. ? 100%=400?100=40000 Therefore the total monthly income is Rs. 40000. ? Total monthly income=40000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:411,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 20% of the students equals 80, how many students correspond to 45%?",180,180 + 1,-180,180 - 1,A,"Here, 20% of the students equals 80. ? 20%?80 First find the value corresponding to 1% by dividing 80 by 20. ? 1%=(80/20)=4 Now multiply the value of 1% by 45 to get 45%. ? 45%=4?45=180 Therefore 45% of the students is 180. ? students=180",,
PCT-CP-003:PCT-QL-006:PCT-002:en:412,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 10800 as savings out of a total income of Rs. 36000. Find the percentage of savings.,30%,30% + 1,-30%,30% - 1,A,The whole income corresponds to 100%. ? 100%?Rs. 36000 So 1% is obtained by dividing Rs. 36000 by 100. ? 1%=(36000/100)=360 Now compare Rs. 10800 with the value of 1% to get the required percentage. ? Required percent=(10800/360)=30% Therefore Rs. 10800 is 30% of the income. ? savings=30%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:413,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 30% of the books equals 180, what percent of the books is 60?",10%,10% + 1,-10%,10% - 1,A,"Here, 30% of the books equals 180. ? 30%?180 To determine the value of 1%, divide 180 by 30. ? 1%=(180/30)=6 Now compare 60 with the value of 1% to find the required percentage. ? Required percent=(60/6)=10% Therefore 60 is 10% of the books. ? Required percent=10%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:414,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 2:3. Express the second part as a percentage of the whole.,60% + 1,60% - 1,-60%,60%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=2+3=5 The second part accounts for 3 out of these 5 parts. ? Share fraction=(3/5) Convert that share into a percentage. ? Required percent=(3/5)?100=60% Therefore the second part corresponds to 60%. ? second part=60%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:415,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 18% of the income as savings. What percent of the income is spent on expenditure?,-82%,82% - 1,82% + 1,82%,D,The full quantity is always 100%. ? savings+expenditure=100% So subtract 18% from 100% to get the remaining percentage. ? expenditure=100%-18%=82% Therefore the expenditure percentage is 82%. ? expenditure=82%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:416,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,45% of the monthly budget goes to food expenses and 10% goes to transport expenses. Find the percentage difference.,-35%,35% - 1,35% + 1,35%,D,"Both parts are already given as percentages of the same whole. ? food expenses=45%, transport expenses=10% So subtract the smaller percentage from the larger percentage. ? Difference=45%-10%=35% Therefore the percentage difference is 35%. ? Difference=35%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:417,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 16000 is divided as 30% rent, 20% food, and 50% transport. Find the amount spent on rent.",-4800,4800 + 1,4800 - 1,4800,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 16000 So the value corresponding to 1% is obtained by dividing Rs. 16000 by 100. ? 1%=(16000/100)=160 Now multiply the value of 1% by 30 to find the rent. ? 30%=160?30=4800 Therefore the rent count is Rs. 4800. ? rent=4800,,
PCT-CP-009:PCT-QL-018:PCT-002:en:418,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 30% goes to marketing, 15% to salaries, and 15% to rent. Find the missing percentage for other expenses.",-40%,40% + 1,40% - 1,40%,D,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 30%+15%+15%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:419,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 36000, 25% is spent on food, 30% on rent, 15% on transport, and the remaining 30% on education. Find the amount spent on education.",-10800,10800 + 1,10800 - 1,10800,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 36000 So the value corresponding to 1% is obtained by dividing Rs. 36000 by 100. ? 1%=(36000/100)=360 Now multiply the value of 1% by the percentage for education. ? 30%=360?30=10800 Therefore the value for education is Rs. 10800. ? education=10800,,
PCT-CP-001:PCT-QL-001:PCT-002:en:420,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"40% of the students are girls. If the number of girls is 240, find the total number of students.",600,600 + 1,-600,600 - 1,A,"Here, 40% of the students equals 240. ? 40%?240 To determine the value of 1%, divide 240 by 40. ? 1%=(240/40)=6 Now multiply the value of 1% by 100 to get the whole. ? 100%=6?100=600 Therefore the total students is 600. ? Total students=600",,
PCT-CP-002:PCT-QL-003:PCT-002:en:421,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 40% of the income equals Rs. 14400, find 50% of the same income.",18000,18000 + 1,-18000,18000 - 1,A,"Here, 40% of the income equals Rs. 14400. ? 40%?Rs. 14400 First find the value corresponding to 1% by dividing Rs. 14400 by 40. ? 1%=(14400/40)=360 Now multiply the value of 1% by 50 to get 50%. ? 50%=360?50=18000 Therefore 50% of the income is Rs. 18000. ? expenditure=18000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:422,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 480 students, 96 are girls. Find what percent of the students are girls.",20%,20% + 1,-20%,20% - 1,A,The whole students corresponds to 100%. ? 100%?480 So 1% is obtained by dividing 480 by 100. ? 1%=(480/100)=4.8 Now compare 96 with the value of 1% to get the required percentage. ? Required percent=(96/4.8)=20% Therefore 96 is 20% of the students. ? girls=20%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:423,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 50% of the salary is Rs. 4000, then Rs. 2400 is what percent of the same salary?",30% + 1,-30%,30%,30% - 1,C,"Here, 50% of the salary equals Rs. 4000. ? 50%?Rs. 4000 To determine the value of 1%, divide Rs. 4000 by 50. ? 1%=(4000/50)=80 Now compare Rs. 2400 with the value of 1% to find the required percentage. ? Required percent=(2400/80)=30% Therefore Rs. 2400 is 30% of the salary. ? Required percent=30%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:424,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 3:4. Find the percentage corresponding to the first part.,42.86%,42.86% + 1,-42.86%,42.86% - 1,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=3+4=7 The first part accounts for 3 out of these 7 parts. ? Share fraction=(3/7) Convert that share into a percentage. ? Required percent=(3/7)?100=42.86% Therefore the first part corresponds to 42.86%. ? first part=42.86%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:425,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 40% of the class are girls, find the percentage of boys.",60% + 1,60% - 1,-60%,60%,D,The full quantity is always 100%. ? girls+boys=100% So subtract 40% from 100% to get the remaining percentage. ? boys=100%-40%=60% Therefore the boys percentage is 60%. ? boys=60%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:426,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,45% of the students are boys and 30% are girls. Find the difference between these percentages.,15% + 1,15% - 1,-15%,15%,D,"Both parts are already given as percentages of the same whole. ? boys=45%, girls=30% So subtract the smaller percentage from the larger percentage. ? Difference=45%-30%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:427,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 600 students is divided as 25% girls, 20% boys, and 55% other students. Find the number of girls.",-150,150 - 1,150 + 1,150,D,The whole students corresponds to 100%. ? 100%?600 So the value corresponding to 1% is obtained by dividing 600 by 100. ? 1%=(600/100)=6 Now multiply the value of 1% by 25 to find the girls. ? 25%=6?25=150 Therefore the girls count is 150. ? girls=150,,
PCT-CP-009:PCT-QL-017:PCT-002:en:428,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.",-35%,35% - 1,35% + 1,35%,D,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 25%+20%+20%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:429,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 6000, 40% are males, 40% are females, and 20% are children. Find the number of children.",1200,1200 - 1,1200 + 1,-1200,A,The whole population corresponds to 100%. ? 100%?6000 So the value corresponding to 1% is obtained by dividing 6000 by 100. ? 1%=(6000/100)=60 Now multiply the value of 1% by the percentage for children. ? 20%=60?20=1200 Therefore the value for children is 1200. ? children=1200,,
PCT-CP-001:PCT-QL-002:PCT-002:en:430,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"20% of the monthly income is kept aside as savings. If these savings are Rs. 6000, find the total monthly income.",30000,30000 - 1,30000 + 1,-30000,A,"Here, 20% of the monthly income equals Rs. 6000. ? 20%?Rs. 6000 To determine the value of 1%, divide Rs. 6000 by 20. ? 1%=(6000/20)=300 Now multiply the value of 1% by 100 to get the whole. ? 100%=300?100=30000 Therefore the total monthly income is Rs. 30000. ? Total monthly income=30000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:431,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 35% of the students equals 245, how many students correspond to 60%?",420,420 + 1,420 - 1,-420,A,"Here, 35% of the students equals 245. ? 35%?245 First find the value corresponding to 1% by dividing 245 by 35. ? 1%=(245/35)=7 Now multiply the value of 1% by 60 to get 60%. ? 60%=7?60=420 Therefore 60% of the students is 420. ? students=420",,
PCT-CP-003:PCT-QL-006:PCT-002:en:432,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 4500 as savings out of a total income of Rs. 30000. Find the percentage of savings.,15% + 1,15% - 1,15%,-15%,C,The whole income corresponds to 100%. ? 100%?Rs. 30000 So 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now compare Rs. 4500 with the value of 1% to get the required percentage. ? Required percent=(4500/300)=15% Therefore Rs. 4500 is 15% of the income. ? savings=15%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:433,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 20% of the books equals 100, what percent of the books is 75?",15%,15% + 1,15% - 1,-15%,A,"Here, 20% of the books equals 100. ? 20%?100 To determine the value of 1%, divide 100 by 20. ? 1%=(100/20)=5 Now compare 75 with the value of 1% to find the required percentage. ? Required percent=(75/5)=15% Therefore 75 is 15% of the books. ? Required percent=15%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:434,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 4:5. Express the second part as a percentage of the whole.,-55.56%,55.56%,55.56% - 1,55.56% + 1,B,First add the ratio parts to get the whole number of equal parts. ? Total parts=4+5=9 The second part accounts for 5 out of these 9 parts. ? Share fraction=(5/9) Convert that share into a percentage. ? Required percent=(5/9)?100=55.56% Therefore the second part corresponds to 55.56%. ? second part=55.56%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:435,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 25% of the income as savings. What percent of the income is spent on expenditure?,-75%,75%,75% - 1,75% + 1,B,The full quantity is always 100%. ? savings+expenditure=100% So subtract 25% from 100% to get the remaining percentage. ? expenditure=100%-25%=75% Therefore the expenditure percentage is 75%. ? expenditure=75%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:436,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,35% of the monthly budget goes to food expenses and 20% goes to transport expenses. Find the percentage difference.,15% - 1,15%,-15%,15% + 1,B,"Both parts are already given as percentages of the same whole. ? food expenses=35%, transport expenses=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:437,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 12000 is divided as 35% rent, 20% food, and 45% transport. Find the amount spent on rent.",-4200,4200,4200 - 1,4200 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 12000 So the value corresponding to 1% is obtained by dividing Rs. 12000 by 100. ? 1%=(12000/100)=120 Now multiply the value of 1% by 35 to find the rent. ? 35%=120?35=4200 Therefore the rent count is Rs. 4200. ? rent=4200,,
PCT-CP-009:PCT-QL-018:PCT-002:en:438,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 20% goes to marketing, 20% to salaries, and 20% to rent. Find the missing percentage for other expenses.",-40%,40% - 1,40%,40% + 1,C,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 20%+20%+20%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:439,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 30000, 35% is spent on food, 25% on rent, 15% on transport, and the remaining 25% on education. Find the amount spent on education.",7500 - 1,7500,-7500,7500 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by the percentage for education. ? 25%=300?25=7500 Therefore the value for education is Rs. 7500. ? education=7500,,
PCT-CP-001:PCT-QL-001:PCT-002:en:440,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"20% of the students are girls. If the number of girls is 240, find the total number of students.",1200,1200 + 1,1200 - 1,-1200,A,"Here, 20% of the students equals 240. ? 20%?240 To determine the value of 1%, divide 240 by 20. ? 1%=(240/20)=12 Now multiply the value of 1% by 100 to get the whole. ? 100%=12?100=1200 Therefore the total students is 1200. ? Total students=1200",,
PCT-CP-002:PCT-QL-003:PCT-002:en:441,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 25% of the income equals Rs. 6250, find 55% of the same income.",13750 + 1,13750 - 1,13750,-13750,C,"Here, 25% of the income equals Rs. 6250. ? 25%?Rs. 6250 First find the value corresponding to 1% by dividing Rs. 6250 by 25. ? 1%=(6250/25)=250 Now multiply the value of 1% by 55 to get 55%. ? 55%=250?55=13750 Therefore 55% of the income is Rs. 13750. ? expenditure=13750",,
PCT-CP-003:PCT-QL-005:PCT-002:en:442,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 360 students, 108 are girls. Find what percent of the students are girls.",30% + 1,30% - 1,30%,-30%,C,The whole students corresponds to 100%. ? 100%?360 So 1% is obtained by dividing 360 by 100. ? 1%=(360/100)=3.6 Now compare 108 with the value of 1% to get the required percentage. ? Required percent=(108/3.6)=30% Therefore 108 is 30% of the students. ? girls=30%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:443,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 40% of the salary is Rs. 2400, then Rs. 2100 is what percent of the same salary?",35%,35% - 1,35% + 1,-35%,A,"Here, 40% of the salary equals Rs. 2400. ? 40%?Rs. 2400 To determine the value of 1%, divide Rs. 2400 by 40. ? 1%=(2400/40)=60 Now compare Rs. 2100 with the value of 1% to find the required percentage. ? Required percent=(2100/60)=35% Therefore Rs. 2100 is 35% of the salary. ? Required percent=35%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:444,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 5:1. Find the percentage corresponding to the first part.,83.33% + 1,83.33% - 1,83.33%,-83.33%,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=5+1=6 The first part accounts for 5 out of these 6 parts. ? Share fraction=(5/6) Convert that share into a percentage. ? Required percent=(5/6)?100=83.33% Therefore the first part corresponds to 83.33%. ? first part=83.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:445,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 20% of the class are girls, find the percentage of boys.",80% - 1,80%,-80%,80% + 1,B,The full quantity is always 100%. ? girls+boys=100% So subtract 20% from 100% to get the remaining percentage. ? boys=100%-20%=80% Therefore the boys percentage is 80%. ? boys=80%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:446,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,35% of the students are boys and 20% are girls. Find the difference between these percentages.,15% - 1,15%,-15%,15% + 1,B,"Both parts are already given as percentages of the same whole. ? boys=35%, girls=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:447,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 400 students is divided as 35% girls, 20% boys, and 45% other students. Find the number of girls.",-140,140 - 1,140,140 + 1,C,The whole students corresponds to 100%. ? 100%?400 So the value corresponding to 1% is obtained by dividing 400 by 100. ? 1%=(400/100)=4 Now multiply the value of 1% by 35 to find the girls. ? 35%=4?35=140 Therefore the girls count is 140. ? girls=140,,
PCT-CP-009:PCT-QL-017:PCT-002:en:448,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",-35%,35% - 1,35%,35% + 1,C,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:449,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 6000, 35% are males, 30% are females, and 35% are children. Find the number of children.",2100,-2100,2100 + 1,2100 - 1,A,The whole population corresponds to 100%. ? 100%?6000 So the value corresponding to 1% is obtained by dividing 6000 by 100. ? 1%=(6000/100)=60 Now multiply the value of 1% by the percentage for children. ? 35%=60?35=2100 Therefore the value for children is 2100. ? children=2100,,
PCT-CP-001:PCT-QL-002:PCT-002:en:450,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"10% of the monthly income is kept aside as savings. If these savings are Rs. 2000, find the total monthly income.",20000,-20000,20000 + 1,20000 - 1,A,"Here, 10% of the monthly income equals Rs. 2000. ? 10%?Rs. 2000 To determine the value of 1%, divide Rs. 2000 by 10. ? 1%=(2000/10)=200 Now multiply the value of 1% by 100 to get the whole. ? 100%=200?100=20000 Therefore the total monthly income is Rs. 20000. ? Total monthly income=20000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:451,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 20% of the students equals 80, how many students correspond to 45%?",180 + 1,-180,180,180 - 1,C,"Here, 20% of the students equals 80. ? 20%?80 First find the value corresponding to 1% by dividing 80 by 20. ? 1%=(80/20)=4 Now multiply the value of 1% by 45 to get 45%. ? 45%=4?45=180 Therefore 45% of the students is 180. ? students=180",,
PCT-CP-003:PCT-QL-006:PCT-002:en:452,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 6000 as savings out of a total income of Rs. 30000. Find the percentage of savings.,20%,-20%,20% + 1,20% - 1,A,The whole income corresponds to 100%. ? 100%?Rs. 30000 So 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now compare Rs. 6000 with the value of 1% to get the required percentage. ? Required percent=(6000/300)=20% Therefore Rs. 6000 is 20% of the income. ? savings=20%,,
