Question ID,CP,Number,Selected Prime,Difficulty Band,Question Language ID,Explanation Style ID,Question,Answer,Factorization Text,Factorization Latex,Explanation
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:103,CP-007,127,127,Easy,QL-018,ES-007,Determine the exponent of 127 in the prime factorization of 127.,1,127 = 127,127 = 127,"Write the prime factorization of 127.

In the factorization:

127 = 127

The exponent of 127 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:104,CP-007,3930,3,Medium,QL-017,ES-007,Find the exponent of 3 in the prime factorization of 3930.,1,3930 = 2 x 3 x 5 x 131,3930 = 2 \times 3 \times 5 \times 131,"Write the prime factorization of 3930.

In the factorization:

3930 = 2 x 3 x 5 x 131

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:105,CP-007,126,3,Easy,QL-018,ES-007,Determine the exponent of 3 in the prime factorization of 126.,2,126 = 2 x 3^2 x 7,126 = 2 \times 3^{2} \times 7,"Write the prime factorization of 126.

In the factorization:

126 = 2 x 3^2 x 7

The exponent of 3 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:106,CP-007,196,7,Easy,QL-017,ES-007,Find the exponent of 7 in the prime factorization of 196.,2,196 = 2^2 x 7^2,196 = 2^{2} \times 7^{2},"Write the prime factorization of 196.

In the factorization:

196 = 2^2 x 7^2

The exponent of 7 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:107,CP-007,117,3,Easy,QL-016,ES-007,What is the exponent of 3 in the prime factorization of 117?,2,117 = 3^2 x 13,117 = 3^{2} \times 13,"Write the prime factorization of 117.

In the factorization:

117 = 3^2 x 13

The exponent of 3 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:108,CP-007,60660,3,Hard,QL-018,ES-007,Determine the exponent of 3 in the prime factorization of 60660.,2,60660 = 2^2 x 3^2 x 5 x 337,60660 = 2^{2} \times 3^{2} \times 5 \times 337,"Write the prime factorization of 60660.

In the factorization:

60660 = 2^2 x 3^2 x 5 x 337

The exponent of 3 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:109,CP-007,197,197,Easy,QL-016,ES-007,What is the exponent of 197 in the prime factorization of 197?,1,197 = 197,197 = 197,"Write the prime factorization of 197.

In the factorization:

197 = 197

The exponent of 197 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:110,CP-007,29593,101,Hard,QL-017,ES-007,Find the exponent of 101 in the prime factorization of 29593.,1,29593 = 101 x 293,29593 = 101 \times 293,"Write the prime factorization of 29593.

In the factorization:

29593 = 101 x 293

The exponent of 101 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:111,CP-007,186,31,Easy,QL-017,ES-007,Find the exponent of 31 in the prime factorization of 186.,1,186 = 2 x 3 x 31,186 = 2 \times 3 \times 31,"Write the prime factorization of 186.

In the factorization:

186 = 2 x 3 x 31

The exponent of 31 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:112,CP-007,76620,2,Hard,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 76620.,2,76620 = 2^2 x 3 x 5 x 1277,76620 = 2^{2} \times 3 \times 5 \times 1277,"Write the prime factorization of 76620.

In the factorization:

76620 = 2^2 x 3 x 5 x 1277

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:113,CP-007,2962,1481,Medium,QL-018,ES-007,Determine the exponent of 1481 in the prime factorization of 2962.,1,2962 = 2 x 1481,2962 = 2 \times 1481,"Write the prime factorization of 2962.

In the factorization:

2962 = 2 x 1481

The exponent of 1481 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:114,CP-007,4,2,Easy,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 4.,2,4 = 2^2,4 = 2^{2},"Write the prime factorization of 4.

In the factorization:

4 = 2^2

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:115,CP-007,134,67,Easy,QL-018,ES-007,Determine the exponent of 67 in the prime factorization of 134.,1,134 = 2 x 67,134 = 2 \times 67,"Write the prime factorization of 134.

In the factorization:

134 = 2 x 67

The exponent of 67 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:116,CP-007,2659,2659,Medium,QL-017,ES-007,Find the exponent of 2659 in the prime factorization of 2659.,1,2659 = 2659,2659 = 2659,"Write the prime factorization of 2659.

In the factorization:

2659 = 2659

The exponent of 2659 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:117,CP-007,169,13,Easy,QL-017,ES-007,Find the exponent of 13 in the prime factorization of 169.,2,169 = 13^2,169 = 13^{2},"Write the prime factorization of 169.

In the factorization:

169 = 13^2

The exponent of 13 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:118,CP-007,176,2,Easy,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 176.,4,176 = 2^4 x 11,176 = 2^{4} \times 11,"Write the prime factorization of 176.

In the factorization:

176 = 2^4 x 11

The exponent of 2 is 4.

Answer: 4"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:119,CP-007,4410,7,Medium,QL-018,ES-007,Determine the exponent of 7 in the prime factorization of 4410.,2,4410 = 2 x 3^2 x 5 x 7^2,4410 = 2 \times 3^{2} \times 5 \times 7^{2},"Write the prime factorization of 4410.

In the factorization:

4410 = 2 x 3^2 x 5 x 7^2

The exponent of 7 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:120,CP-007,2673,11,Medium,QL-018,ES-007,Determine the exponent of 11 in the prime factorization of 2673.,1,2673 = 3^5 x 11,2673 = 3^{5} \times 11,"Write the prime factorization of 2673.

In the factorization:

2673 = 3^5 x 11

The exponent of 11 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:121,CP-007,66332,2,Hard,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 66332.,2,66332 = 2^2 x 7 x 23 x 103,66332 = 2^{2} \times 7 \times 23 \times 103,"Write the prime factorization of 66332.

In the factorization:

66332 = 2^2 x 7 x 23 x 103

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:122,CP-007,79,79,Easy,QL-016,ES-007,What is the exponent of 79 in the prime factorization of 79?,1,79 = 79,79 = 79,"Write the prime factorization of 79.

In the factorization:

79 = 79

The exponent of 79 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:123,CP-007,172,2,Easy,QL-016,ES-007,What is the exponent of 2 in the prime factorization of 172?,2,172 = 2^2 x 43,172 = 2^{2} \times 43,"Write the prime factorization of 172.

In the factorization:

172 = 2^2 x 43

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:124,CP-007,1367,1367,Medium,QL-017,ES-007,Find the exponent of 1367 in the prime factorization of 1367.,1,1367 = 1367,1367 = 1367,"Write the prime factorization of 1367.

In the factorization:

1367 = 1367

The exponent of 1367 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:125,CP-007,2260,2,Medium,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 2260.,2,2260 = 2^2 x 5 x 113,2260 = 2^{2} \times 5 \times 113,"Write the prime factorization of 2260.

In the factorization:

2260 = 2^2 x 5 x 113

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:126,CP-007,43,43,Easy,QL-016,ES-007,What is the exponent of 43 in the prime factorization of 43?,1,43 = 43,43 = 43,"Write the prime factorization of 43.

In the factorization:

43 = 43

The exponent of 43 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:127,CP-007,57,3,Easy,QL-017,ES-007,Find the exponent of 3 in the prime factorization of 57.,1,57 = 3 x 19,57 = 3 \times 19,"Write the prime factorization of 57.

In the factorization:

57 = 3 x 19

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:128,CP-007,77621,77621,Hard,QL-016,ES-007,What is the exponent of 77621 in the prime factorization of 77621?,1,77621 = 77621,77621 = 77621,"Write the prime factorization of 77621.

In the factorization:

77621 = 77621

The exponent of 77621 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:129,CP-007,31699,31699,Hard,QL-016,ES-007,What is the exponent of 31699 in the prime factorization of 31699?,1,31699 = 31699,31699 = 31699,"Write the prime factorization of 31699.

In the factorization:

31699 = 31699

The exponent of 31699 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:130,CP-007,115,5,Easy,QL-017,ES-007,Find the exponent of 5 in the prime factorization of 115.,1,115 = 5 x 23,115 = 5 \times 23,"Write the prime factorization of 115.

In the factorization:

115 = 5 x 23

The exponent of 5 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:131,CP-007,97481,2267,Hard,QL-017,ES-007,Find the exponent of 2267 in the prime factorization of 97481.,1,97481 = 43 x 2267,97481 = 43 \times 2267,"Write the prime factorization of 97481.

In the factorization:

97481 = 43 x 2267

The exponent of 2267 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:132,CP-007,47,47,Easy,QL-018,ES-007,Determine the exponent of 47 in the prime factorization of 47.,1,47 = 47,47 = 47,"Write the prime factorization of 47.

In the factorization:

47 = 47

The exponent of 47 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:133,CP-007,3020,5,Medium,QL-018,ES-007,Determine the exponent of 5 in the prime factorization of 3020.,1,3020 = 2^2 x 5 x 151,3020 = 2^{2} \times 5 \times 151,"Write the prime factorization of 3020.

In the factorization:

3020 = 2^2 x 5 x 151

The exponent of 5 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:134,CP-007,64333,64333,Hard,QL-016,ES-007,What is the exponent of 64333 in the prime factorization of 64333?,1,64333 = 64333,64333 = 64333,"Write the prime factorization of 64333.

In the factorization:

64333 = 64333

The exponent of 64333 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:135,CP-007,171,19,Easy,QL-018,ES-007,Determine the exponent of 19 in the prime factorization of 171.,1,171 = 3^2 x 19,171 = 3^{2} \times 19,"Write the prime factorization of 171.

In the factorization:

171 = 3^2 x 19

The exponent of 19 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:136,CP-007,810,3,Medium,QL-018,ES-007,Determine the exponent of 3 in the prime factorization of 810.,4,810 = 2 x 3^4 x 5,810 = 2 \times 3^{4} \times 5,"Write the prime factorization of 810.

In the factorization:

810 = 2 x 3^4 x 5

The exponent of 3 is 4.

Answer: 4"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:137,CP-007,738,3,Medium,QL-018,ES-007,Determine the exponent of 3 in the prime factorization of 738.,2,738 = 2 x 3^2 x 41,738 = 2 \times 3^{2} \times 41,"Write the prime factorization of 738.

In the factorization:

738 = 2 x 3^2 x 41

The exponent of 3 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:138,CP-007,4227,3,Medium,QL-016,ES-007,What is the exponent of 3 in the prime factorization of 4227?,1,4227 = 3 x 1409,4227 = 3 \times 1409,"Write the prime factorization of 4227.

In the factorization:

4227 = 3 x 1409

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:139,CP-007,26904,3,Hard,QL-016,ES-007,What is the exponent of 3 in the prime factorization of 26904?,1,26904 = 2^3 x 3 x 19 x 59,26904 = 2^{3} \times 3 \times 19 \times 59,"Write the prime factorization of 26904.

In the factorization:

26904 = 2^3 x 3 x 19 x 59

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:140,CP-007,102,2,Easy,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 102.,1,102 = 2 x 3 x 17,102 = 2 \times 3 \times 17,"Write the prime factorization of 102.

In the factorization:

102 = 2 x 3 x 17

The exponent of 2 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:141,CP-007,40960,2,Hard,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 40960.,13,40960 = 2^13 x 5,40960 = 2^{13} \times 5,"Write the prime factorization of 40960.

In the factorization:

40960 = 2^13 x 5

The exponent of 2 is 13.

Answer: 13"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:142,CP-007,678,2,Medium,QL-016,ES-007,What is the exponent of 2 in the prime factorization of 678?,1,678 = 2 x 3 x 113,678 = 2 \times 3 \times 113,"Write the prime factorization of 678.

In the factorization:

678 = 2 x 3 x 113

The exponent of 2 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:143,CP-007,2704,2,Medium,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 2704.,4,2704 = 2^4 x 13^2,2704 = 2^{4} \times 13^{2},"Write the prime factorization of 2704.

In the factorization:

2704 = 2^4 x 13^2

The exponent of 2 is 4.

Answer: 4"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:144,CP-007,21401,21401,Hard,QL-016,ES-007,What is the exponent of 21401 in the prime factorization of 21401?,1,21401 = 21401,21401 = 21401,"Write the prime factorization of 21401.

In the factorization:

21401 = 21401

The exponent of 21401 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:145,CP-007,124,2,Easy,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 124.,2,124 = 2^2 x 31,124 = 2^{2} \times 31,"Write the prime factorization of 124.

In the factorization:

124 = 2^2 x 31

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:146,CP-007,2979,331,Medium,QL-017,ES-007,Find the exponent of 331 in the prime factorization of 2979.,1,2979 = 3^2 x 331,2979 = 3^{2} \times 331,"Write the prime factorization of 2979.

In the factorization:

2979 = 3^2 x 331

The exponent of 331 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:147,CP-007,3533,3533,Medium,QL-017,ES-007,Find the exponent of 3533 in the prime factorization of 3533.,1,3533 = 3533,3533 = 3533,"Write the prime factorization of 3533.

In the factorization:

3533 = 3533

The exponent of 3533 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:148,CP-007,50497,50497,Hard,QL-016,ES-007,What is the exponent of 50497 in the prime factorization of 50497?,1,50497 = 50497,50497 = 50497,"Write the prime factorization of 50497.

In the factorization:

50497 = 50497

The exponent of 50497 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:149,CP-007,3604,2,Medium,QL-016,ES-007,What is the exponent of 2 in the prime factorization of 3604?,2,3604 = 2^2 x 17 x 53,3604 = 2^{2} \times 17 \times 53,"Write the prime factorization of 3604.

In the factorization:

3604 = 2^2 x 17 x 53

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:150,CP-007,4438,2,Medium,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 4438.,1,4438 = 2 x 7 x 317,4438 = 2 \times 7 \times 317,"Write the prime factorization of 4438.

In the factorization:

4438 = 2 x 7 x 317

The exponent of 2 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:151,CP-007,78,13,Easy,QL-017,ES-007,Find the exponent of 13 in the prime factorization of 78.,1,78 = 2 x 3 x 13,78 = 2 \times 3 \times 13,"Write the prime factorization of 78.

In the factorization:

78 = 2 x 3 x 13

The exponent of 13 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:152,CP-007,182,13,Easy,QL-017,ES-007,Find the exponent of 13 in the prime factorization of 182.,1,182 = 2 x 7 x 13,182 = 2 \times 7 \times 13,"Write the prime factorization of 182.

In the factorization:

182 = 2 x 7 x 13

The exponent of 13 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:153,CP-007,3331,3331,Medium,QL-018,ES-007,Determine the exponent of 3331 in the prime factorization of 3331.,1,3331 = 3331,3331 = 3331,"Write the prime factorization of 3331.

In the factorization:

3331 = 3331

The exponent of 3331 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:154,CP-007,1832,2,Medium,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 1832.,3,1832 = 2^3 x 229,1832 = 2^{3} \times 229,"Write the prime factorization of 1832.

In the factorization:

1832 = 2^3 x 229

The exponent of 2 is 3.

Answer: 3"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:155,CP-007,22,11,Easy,QL-016,ES-007,What is the exponent of 11 in the prime factorization of 22?,1,22 = 2 x 11,22 = 2 \times 11,"Write the prime factorization of 22.

In the factorization:

22 = 2 x 11

The exponent of 11 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:156,CP-007,191,191,Easy,QL-017,ES-007,Find the exponent of 191 in the prime factorization of 191.,1,191 = 191,191 = 191,"Write the prime factorization of 191.

In the factorization:

191 = 191

The exponent of 191 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:157,CP-007,193,193,Easy,QL-018,ES-007,Determine the exponent of 193 in the prime factorization of 193.,1,193 = 193,193 = 193,"Write the prime factorization of 193.

In the factorization:

193 = 193

The exponent of 193 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:158,CP-007,16,2,Easy,QL-016,ES-007,What is the exponent of 2 in the prime factorization of 16?,4,16 = 2^4,16 = 2^{4},"Write the prime factorization of 16.

In the factorization:

16 = 2^4

The exponent of 2 is 4.

Answer: 4"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:159,CP-007,4038,3,Medium,QL-016,ES-007,What is the exponent of 3 in the prime factorization of 4038?,1,4038 = 2 x 3 x 673,4038 = 2 \times 3 \times 673,"Write the prime factorization of 4038.

In the factorization:

4038 = 2 x 3 x 673

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:160,CP-007,1219,53,Medium,QL-018,ES-007,Determine the exponent of 53 in the prime factorization of 1219.,1,1219 = 23 x 53,1219 = 23 \times 53,"Write the prime factorization of 1219.

In the factorization:

1219 = 23 x 53

The exponent of 53 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:161,CP-007,852,2,Medium,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 852.,2,852 = 2^2 x 3 x 71,852 = 2^{2} \times 3 \times 71,"Write the prime factorization of 852.

In the factorization:

852 = 2^2 x 3 x 71

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:162,CP-007,4980,3,Medium,QL-016,ES-007,What is the exponent of 3 in the prime factorization of 4980?,1,4980 = 2^2 x 3 x 5 x 83,4980 = 2^{2} \times 3 \times 5 \times 83,"Write the prime factorization of 4980.

In the factorization:

4980 = 2^2 x 3 x 5 x 83

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:163,CP-007,1728,2,Medium,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 1728.,6,1728 = 2^6 x 3^3,1728 = 2^{6} \times 3^{3},"Write the prime factorization of 1728.

In the factorization:

1728 = 2^6 x 3^3

The exponent of 2 is 6.

Answer: 6"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:164,CP-007,57190,2,Hard,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 57190.,1,57190 = 2 x 5 x 7 x 19 x 43,57190 = 2 \times 5 \times 7 \times 19 \times 43,"Write the prime factorization of 57190.

In the factorization:

57190 = 2 x 5 x 7 x 19 x 43

The exponent of 2 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:165,CP-007,1404,2,Medium,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 1404.,2,1404 = 2^2 x 3^3 x 13,1404 = 2^{2} \times 3^{3} \times 13,"Write the prime factorization of 1404.

In the factorization:

1404 = 2^2 x 3^3 x 13

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:166,CP-007,96777,10753,Hard,QL-017,ES-007,Find the exponent of 10753 in the prime factorization of 96777.,1,96777 = 3^2 x 10753,96777 = 3^{2} \times 10753,"Write the prime factorization of 96777.

In the factorization:

96777 = 3^2 x 10753

The exponent of 10753 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:167,CP-007,103,103,Easy,QL-018,ES-007,Determine the exponent of 103 in the prime factorization of 103.,1,103 = 103,103 = 103,"Write the prime factorization of 103.

In the factorization:

103 = 103

The exponent of 103 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:168,CP-007,3664,229,Medium,QL-016,ES-007,What is the exponent of 229 in the prime factorization of 3664?,1,3664 = 2^4 x 229,3664 = 2^{4} \times 229,"Write the prime factorization of 3664.

In the factorization:

3664 = 2^4 x 229

The exponent of 229 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:169,CP-007,197,197,Easy,QL-017,ES-007,Find the exponent of 197 in the prime factorization of 197.,1,197 = 197,197 = 197,"Write the prime factorization of 197.

In the factorization:

197 = 197

The exponent of 197 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:170,CP-007,28348,2,Hard,QL-016,ES-007,What is the exponent of 2 in the prime factorization of 28348?,2,28348 = 2^2 x 19 x 373,28348 = 2^{2} \times 19 \times 373,"Write the prime factorization of 28348.

In the factorization:

28348 = 2^2 x 19 x 373

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:171,CP-007,2881,67,Medium,QL-017,ES-007,Find the exponent of 67 in the prime factorization of 2881.,1,2881 = 43 x 67,2881 = 43 \times 67,"Write the prime factorization of 2881.

In the factorization:

2881 = 43 x 67

The exponent of 67 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:172,CP-007,137,137,Easy,QL-016,ES-007,What is the exponent of 137 in the prime factorization of 137?,1,137 = 137,137 = 137,"Write the prime factorization of 137.

In the factorization:

137 = 137

The exponent of 137 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:173,CP-007,177,59,Easy,QL-017,ES-007,Find the exponent of 59 in the prime factorization of 177.,1,177 = 3 x 59,177 = 3 \times 59,"Write the prime factorization of 177.

In the factorization:

177 = 3 x 59

The exponent of 59 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:174,CP-007,87,3,Easy,QL-018,ES-007,Determine the exponent of 3 in the prime factorization of 87.,1,87 = 3 x 29,87 = 3 \times 29,"Write the prime factorization of 87.

In the factorization:

87 = 3 x 29

The exponent of 3 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:175,CP-007,608,19,Medium,QL-018,ES-007,Determine the exponent of 19 in the prime factorization of 608.,1,608 = 2^5 x 19,608 = 2^{5} \times 19,"Write the prime factorization of 608.

In the factorization:

608 = 2^5 x 19

The exponent of 19 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:176,CP-007,190,2,Easy,QL-018,ES-007,Determine the exponent of 2 in the prime factorization of 190.,1,190 = 2 x 5 x 19,190 = 2 \times 5 \times 19,"Write the prime factorization of 190.

In the factorization:

190 = 2 x 5 x 19

The exponent of 2 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:177,CP-007,3636,2,Medium,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 3636.,2,3636 = 2^2 x 3^2 x 101,3636 = 2^{2} \times 3^{2} \times 101,"Write the prime factorization of 3636.

In the factorization:

3636 = 2^2 x 3^2 x 101

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:178,CP-007,68164,2,Hard,QL-017,ES-007,Find the exponent of 2 in the prime factorization of 68164.,2,68164 = 2^2 x 17041,68164 = 2^{2} \times 17041,"Write the prime factorization of 68164.

In the factorization:

68164 = 2^2 x 17041

The exponent of 2 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:179,CP-007,4540,5,Medium,QL-016,ES-007,What is the exponent of 5 in the prime factorization of 4540?,1,4540 = 2^2 x 5 x 227,4540 = 2^{2} \times 5 \times 227,"Write the prime factorization of 4540.

In the factorization:

4540 = 2^2 x 5 x 227

The exponent of 5 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:180,CP-007,37548,3,Hard,QL-016,ES-007,What is the exponent of 3 in the prime factorization of 37548?,2,37548 = 2^2 x 3^2 x 7 x 149,37548 = 2^{2} \times 3^{2} \times 7 \times 149,"Write the prime factorization of 37548.

In the factorization:

37548 = 2^2 x 3^2 x 7 x 149

The exponent of 3 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:181,CP-007,18,3,Easy,QL-018,ES-007,Determine the exponent of 3 in the prime factorization of 18.,2,18 = 2 x 3^2,18 = 2 \times 3^{2},"Write the prime factorization of 18.

In the factorization:

18 = 2 x 3^2

The exponent of 3 is 2.

Answer: 2"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:182,CP-007,1312,41,Medium,QL-016,ES-007,What is the exponent of 41 in the prime factorization of 1312?,1,1312 = 2^5 x 41,1312 = 2^{5} \times 41,"Write the prime factorization of 1312.

In the factorization:

1312 = 2^5 x 41

The exponent of 41 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:183,CP-007,47,47,Easy,QL-016,ES-007,What is the exponent of 47 in the prime factorization of 47?,1,47 = 47,47 = 47,"Write the prime factorization of 47.

In the factorization:

47 = 47

The exponent of 47 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:184,CP-007,2302,1151,Medium,QL-018,ES-007,Determine the exponent of 1151 in the prime factorization of 2302.,1,2302 = 2 x 1151,2302 = 2 \times 1151,"Write the prime factorization of 2302.

In the factorization:

2302 = 2 x 1151

The exponent of 1151 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:185,CP-007,883,883,Medium,QL-017,ES-007,Find the exponent of 883 in the prime factorization of 883.,1,883 = 883,883 = 883,"Write the prime factorization of 883.

In the factorization:

883 = 883

The exponent of 883 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:186,CP-007,4545,5,Medium,QL-018,ES-007,Determine the exponent of 5 in the prime factorization of 4545.,1,4545 = 3^2 x 5 x 101,4545 = 3^{2} \times 5 \times 101,"Write the prime factorization of 4545.

In the factorization:

4545 = 3^2 x 5 x 101

The exponent of 5 is 1.

Answer: 1"
NS-PF-001:CP-007:ns-pf-001-human-review:CP-007:187,CP-007,1789,1789,Medium,QL-016,ES-007,What is the exponent of 1789 in the prime factorization of 1789?,1,1789 = 1789,1789 = 1789,"Write the prime factorization of 1789.

In the factorization:

1789 = 1789

The exponent of 1789 is 1.

Answer: 1"
